               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12346,            0.038485,            0.030724,          0.00044843,            0.083333,          0.00033624,          3.3624e-05,             0.11675,             0.03569,             0.03092,              0.0982,              0.0002,              0.0002
                   1,             0.12152,            0.034387,            0.030954,                   0,                   0,                   0,                   0,             0.11519,            0.035507,            0.030908,            0.095495,          0.00049505,          0.00049505
                   2,             0.11765,            0.034038,             0.03132,                   0,                   0,                   0,                   0,             0.11048,            0.035942,            0.030658,            0.092784,          0.00078416,          0.00078416
                   3,             0.11294,             0.03772,            0.029147,           0.0004529,            0.083333,          0.00046084,          9.2168e-05,             0.10329,            0.037163,            0.030255,            0.090067,           0.0010673,           0.0010673
                   4,             0.10133,            0.041519,            0.029108,           0.0019116,             0.30952,           0.0018113,          0.00021023,            0.095056,            0.039009,            0.030017,            0.087345,           0.0013446,           0.0013446
                   5,            0.095983,            0.039284,            0.030069,           0.0020124,             0.29762,           0.0026566,          0.00059729,            0.087824,            0.041199,            0.030042,            0.084616,           0.0016158,           0.0016158
                   6,            0.095878,            0.044347,            0.028084,           0.0039003,             0.60714,           0.0042555,          0.00075764,            0.084188,             0.04084,            0.029474,            0.081881,           0.0018812,           0.0018812
                   7,            0.090622,            0.048943,            0.028369,           0.0038834,             0.60714,           0.0044245,           0.0011505,            0.079065,            0.041412,            0.028955,            0.079141,           0.0021406,           0.0021406
                   8,            0.072404,             0.02998,            0.026664,           0.0047877,             0.77381,           0.0079344,           0.0029339,            0.072567,            0.041687,            0.028503,            0.076394,           0.0023941,           0.0023941
                   9,            0.085761,            0.042645,            0.027298,           0.0024125,             0.38095,           0.0023386,          0.00053366,            0.086935,            0.036362,            0.028174,            0.073642,           0.0026416,           0.0026416
                  10,            0.085616,            0.046755,            0.027226,           0.0043551,             0.69048,            0.035531,            0.010598,            0.078134,            0.036835,            0.027661,            0.070883,           0.0028832,           0.0028832
                  11,            0.070717,            0.041604,            0.026141,           0.0063045,                   1,              0.1094,             0.03575,            0.069045,            0.037582,            0.027191,            0.068119,           0.0031189,           0.0031189
                  12,            0.081962,            0.045791,            0.026929,           0.0062233,                   1,             0.11838,            0.050976,            0.067555,            0.034599,            0.026819,            0.065349,           0.0033486,           0.0033486
                  13,            0.072027,            0.049967,            0.026012,             0.11851,             0.38095,             0.25772,             0.13063,            0.076172,            0.029552,            0.026434,            0.062572,           0.0035723,           0.0035723
                  14,            0.069448,            0.032855,            0.025953,             0.27789,             0.26117,             0.28296,             0.13817,            0.082781,            0.024822,            0.026135,             0.05979,           0.0037902,           0.0037902
                  15,            0.069771,            0.030872,            0.026151,             0.35808,             0.34097,             0.35734,             0.13652,            0.062866,            0.028225,            0.025751,            0.057002,           0.0040021,           0.0040021
                  16,            0.063842,            0.034174,            0.025673,             0.33514,             0.38095,             0.35292,             0.14279,            0.071443,            0.024837,            0.025409,            0.054208,            0.004208,            0.004208
                  17,            0.070426,            0.030237,            0.025951,             0.27553,             0.46429,             0.35276,             0.12742,            0.067662,             0.02541,            0.025134,            0.051408,            0.004408,            0.004408
                  18,            0.073354,            0.030162,            0.025783,             0.17578,             0.69048,             0.34618,            0.082011,            0.078113,            0.023342,            0.024976,            0.048602,           0.0046021,           0.0046021
                  19,            0.076258,            0.028185,            0.026016,             0.11857,             0.52381,             0.14874,            0.045613,            0.075719,            0.023174,            0.024908,             0.04579,           0.0047902,           0.0047902
                  20,            0.075035,            0.024709,            0.025117,             0.24988,              0.7619,             0.40529,             0.17415,            0.072743,            0.022221,            0.024884,            0.042972,           0.0049724,           0.0049724
                  21,            0.068849,            0.027574,            0.024845,               0.189,             0.61905,             0.20891,            0.045896,            0.067458,            0.024281,            0.024866,            0.040149,           0.0051487,           0.0051487
                  22,            0.069992,            0.031729,            0.025111,             0.19334,             0.61905,             0.20107,            0.046203,              0.0678,            0.024197,             0.02486,            0.037319,            0.005319,            0.005319
                  23,            0.070406,            0.025246,            0.023988,             0.26138,             0.52381,             0.38668,             0.14362,            0.077217,            0.020939,            0.024756,            0.034483,           0.0054833,           0.0054833
                  24,              0.0695,            0.027992,            0.025116,             0.13275,             0.39286,              0.1824,            0.043997,            0.063447,            0.023911,             0.02453,            0.031642,           0.0056418,           0.0056418
                  25,            0.065825,            0.022548,            0.025436,             0.29774,             0.67857,             0.52633,             0.25572,            0.068536,            0.020988,            0.024323,            0.028794,           0.0057942,           0.0057942
                  26,            0.065139,            0.026767,            0.025135,             0.13165,             0.69169,              0.2248,            0.057472,            0.066245,            0.021946,              0.0242,            0.025941,           0.0059408,           0.0059408
                  27,             0.07176,            0.033912,             0.02487,             0.45233,             0.53571,             0.42469,             0.18728,            0.078571,            0.018284,            0.024243,            0.023081,           0.0060814,           0.0060814
                  28,             0.07984,            0.023105,            0.025252,             0.45233,             0.53571,             0.42469,             0.18728,            0.078571,            0.018284,            0.024243,            0.020216,           0.0062161,           0.0062161
                  29,            0.061422,            0.028955,            0.024375,             0.23694,             0.59093,             0.34901,             0.13122,            0.055792,             0.02142,            0.023901,            0.017345,           0.0063448,           0.0063448
                  30,            0.060586,            0.024614,            0.025245,             0.24336,             0.77381,             0.27953,              0.1197,            0.067968,            0.019703,             0.02395,            0.014468,           0.0064676,           0.0064676
                  31,             0.07311,            0.023012,            0.024761,             0.22844,             0.39286,             0.27297,            0.080786,            0.077309,            0.018299,            0.023828,            0.011584,           0.0065844,           0.0065844
